GEOID20,SSA,CouncilDistrict
48029191818,65,9
48029191819,65,9
48029191900,5,2
48029192000,4,2
48029192100,6,5
48029192200,35,3
48029192300,48,9
48029980001,102,
48029980002,101,5
48029980003,38,
48029980004,100,9
48029980005,103,6
48029980100,38,4
