OBJECTID,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEOID_NUM,Shape_Length,Shape_Area,CouncilDistrict
26,48,029,121117,48029121117,1211.17,Census Tract 1211.17,G5020,S,2436935.000000000000000,17700.000000000000000,+29.5957070,-098.4622931,48029121117.000000000000000,23731.891655520517816,26414684.162435792386532,9
27,48,029,121300,48029121300,1213,Census Tract 1213,G5020,S,5103060.000000000000000,4086.000000000000000,+29.5196989,-098.3839956,48029121300.000000000000000,30207.081128169778822,54958215.946329630911350,
28,48,029,141300,48029141300,1413,Census Tract 1413,G5020,S,7569427.000000000000000,43451.000000000000000,+29.3754769,-098.4136858,48029141300.000000000000000,48305.306611595944560,81921624.718075007200241,3
29,48,029,181303,48029181303,1813.03,Census Tract 1813.03,G5020,S,2073467.000000000000000,16690.000000000000000,+29.5354781,-098.5739886,48029181303.000000000000000,22086.158131693293399,22492293.329970851540565,8
30,48,029,182103,48029182103,1821.03,Census Tract 1821.03,G5020,S,141033202.000000000000000,431906.000000000000000,+29.6666806,-098.7362806,48029182103.000000000000000,177552.737792278552661,1522346151.579023838043213,
31,48,029,130900,48029130900,1309,Census Tract 1309,G5020,S,8917660.000000000000000,60483.000000000000000,+29.4373402,-098.4086795,48029130900.000000000000000,49435.299119851333671,96613490.969307914376259,2
32,48,029,181602,48029181602,1816.02,Census Tract 1816.02,G5020,S,3727344.000000000000000,0.000000000000000,+29.4579251,-098.6140374,48029181602.000000000000000,27303.570629326310154,40109871.085167631506920,6
33,48,029,160200,48029160200,1602,Census Tract 1602,G5020,S,1088272.000000000000000,0.000000000000000,+29.3999440,-098.5183695,48029160200.000000000000000,14808.080210381440338,11710788.824621206149459,5
34,48,029,130200,48029130200,1302,Census Tract 1302,G5020,S,984995.000000000000000,0.000000000000000,+29.4158239,-098.4673756,48029130200.000000000000000,13471.472302794429197,10599476.647351911291480,2
35,48,029,190902,48029190902,1909.02,Census Tract 1909.02,G5020,S,4836402.000000000000000,3154.000000000000000,+29.4957137,-098.4883111,48029190902.000000000000000,47841.041692956481711,52078493.513227507472038,1
36,48,029,182101,48029182101,1821.01,Census Tract 1821.01,G5020,S,25132985.000000000000000,66842.000000000000000,+29.7235727,-098.6441332,48029182101.000000000000000,95542.508988588655484,271185798.363401830196381,
37,48,029,980002,48029980002,9800.02,Census Tract 9800.02,G5020,S,1557844.000000000000000,0.000000000000000,+29.3764255,-098.5460439,48029980002.000000000000000,18125.748216833533661,16763848.796950954943895,5
38,48,029,111000,48029111000,1110,Census Tract 1110,G5020,S,1553477.000000000000000,0.000000000000000,+29.4403477,-098.4708688,48029111000.000000000000000,22356.698775170876615,16716841.574858551844954,2
39,48,029,980001,48029980001,9800.01,Census Tract 9800.01,G5020,S,126372006.000000000000000,211514.000000000000000,+29.6858707,-098.5638545,48029980001.000000000000000,183410.172734716179548,1362208654.295617818832397,
40,48,029,181503,48029181503,1815.03,Census Tract 1815.03,G5020,S,2222194.000000000000000,0.000000000000000,+29.5127445,-098.6027543,48029181503.000000000000000,23447.924437898112956,23913110.210391063243151,7
41,48,029,121505,48029121505,1215.05,Census Tract 1215.05,G5020,S,3230774.000000000000000,97780.000000000000000,+29.5231183,-098.3287891,48029121505.000000000000000,26058.667425317231391,35818743.790887847542763,
42,48,029,121118,48029121118,1211.18,Census Tract 1211.18,G5020,S,4730571.000000000000000,8263.000000000000000,+29.5964191,-098.4439245,48029121118.000000000000000,47732.977908693268546,50995294.854864120483398,10
43,48,029,120400,48029120400,1204,Census Tract 1204,G5020,S,4701327.000000000000000,0.000000000000000,+29.4761140,-098.4467416,48029120400.000000000000000,31837.538542880291061,50590998.039336279034615,
44,48,029,120501,48029120501,1205.01,Census Tract 1205.01,G5020,S,6403591.000000000000000,3098.000000000000000,+29.4834470,-098.4137358,48029120501.000000000000000,50663.749384441551229,68942294.998272359371185,2
45,48,029,140400,48029140400,1404,Census Tract 1404,G5020,S,1536000.000000000000000,0.000000000000000,+29.3968163,-098.4673941,48029140400.000000000000000,16408.236344664612261,16528821.876042272895575,3
46,48,029,152000,48029152000,1520,Census Tract 1520,G5020,S,45658686.000000000000000,734943.000000000000000,+29.2845687,-098.5327496,48029152000.000000000000000,114055.813595136016374,499238700.097749650478363,3
47,48,029,151400,48029151400,1514,Census Tract 1514,G5020,S,1876991.000000000000000,5113.000000000000000,+29.3491456,-098.5099698,48029151400.000000000000000,18148.171776923591096,20253179.515434511005878,3
48,48,029,131601,48029131601,1316.01,Census Tract 1316.01,G5020,S,51586807.000000000000000,593372.000000000000000,+29.5031710,-098.2557058,48029131601.000000000000000,166393.275511865795124,561512105.869438409805298,
49,48,029,160702,48029160702,1607.02,Census Tract 1607.02,G5020,S,2935416.000000000000000,0.000000000000000,+29.3962513,-098.5569566,48029160702.000000000000000,26464.373982185028581,31587789.939479790627956,5
50,48,029,121506,48029121506,1215.06,Census Tract 1215.06,G5020,S,2580675.000000000000000,16547.000000000000000,+29.5139714,-098.3452793,48029121506.000000000000000,26378.657628413893690,27948763.999959047883749,
51,48,029,161200,48029161200,1612,Census Tract 1612,G5020,S,45787354.000000000000000,778241.000000000000000,+29.2994770,-098.6037886,48029161200.000000000000000,129524.047289774665842,501089044.474793016910553,4
52,48,029,162001,48029162001,1620.01,Census Tract 1620.01,G5020,S,46389995.000000000000000,503742.000000000000000,+29.2598094,-098.6300606,48029162001.000000000000000,124466.971225640067132,504620861.033598780632019,
53,48,029,171100,48029171100,1711,Census Tract 1711,G5020,S,1847465.000000000000000,0.000000000000000,+29.4224602,-098.5686161,48029171100.000000000000000,19882.112598150211852,19880445.906761363148689,5
54,48,029,171801,48029171801,1718.01,Census Tract 1718.01,G5020,S,2220714.000000000000000,0.000000000000000,+29.4131166,-098.6393742,48029171801.000000000000000,25135.552271876378654,23896969.286549426615238,4
55,48,029,182102,48029182102,1821.02,Census Tract 1821.02,G5020,S,21509128.000000000000000,47966.000000000000000,+29.7039316,-098.6676857,48029182102.000000000000000,77195.500030881987186,231983796.736342191696167,
56,48,029,191804,48029191804,1918.04,Census Tract 1918.04,G5020,S,29862173.000000000000000,83407.000000000000000,+29.7202361,-098.4914508,48029191804.000000000000000,105572.426025867098360,322255977.494861125946045,
57,48,029,151900,48029151900,1519,Census Tract 1519,G5020,S,36244758.000000000000000,3251536.000000000000000,+29.2925232,-098.4710132,48029151900.000000000000000,113603.716006368747912,425017002.755213499069214,3
58,48,029,151500,48029151500,1515,Census Tract 1515,G5020,S,1950006.000000000000000,0.000000000000000,+29.3525983,-098.4923256,48029151500.000000000000000,20462.851336648531287,20983875.760788772255182,3
59,48,029,121205,48029121205,1212.05,Census Tract 1212.05,G5020,S,2937649.000000000000000,37809.000000000000000,+29.5402233,-098.4076217,48029121205.000000000000000,24848.766755179436586,32019101.425751514732838,10
60,48,029,121804,48029121804,1218.04,Census Tract 1218.04,G5020,S,2412857.000000000000000,0.000000000000000,+29.5670518,-098.3757437,48029121804.000000000000000,21201.090997698400315,25964965.190498810261488,10
61,48,029,141900,48029141900,1419,Census Tract 1419,G5020,S,120714570.000000000000000,14730634.000000000000000,+29.3289098,-098.3128977,48029141900.000000000000000,167943.080569859448588,1457515857.814960479736328,
62,48,029,140600,48029140600,1406,Census Tract 1406,G5020,S,1207342.000000000000000,0.000000000000000,+29.3927381,-098.4435777,48029140600.000000000000000,17606.173109096624103,12992097.398612434044480,3
63,48,029,180202,48029180202,1802.02,Census Tract 1802.02,G5020,S,1995406.000000000000000,0.000000000000000,+29.4742577,-098.5421228,48029180202.000000000000000,22392.878275940925960,21472554.203058086335659,7
64,48,029,152100,48029152100,1521,Census Tract 1521,G5020,S,111642085.000000000000000,245853.000000000000000,+29.2098275,-098.5374532,48029152100.000000000000000,172246.648456372087821,1204023895.926343917846680,
65,48,029,120502,48029120502,1205.02,Census Tract 1205.02,G5020,S,3308099.000000000000000,0.000000000000000,+29.5045334,-098.4076210,48029120502.000000000000000,33260.587776352753281,35598587.221574269235134,2
66,48,029,120600,48029120600,1206,Census Tract 1206,G5020,S,3286772.000000000000000,1750.000000000000000,+29.4891093,-098.4466034,48029120600.000000000000000,25507.933939234691934,35387773.860567733645439,10
67,48,029,121203,48029121203,1212.03,Census Tract 1212.03,G5020,S,7475729.000000000000000,6223.000000000000000,+29.5259958,-098.4004284,48029121203.000000000000000,46062.804096731939353,80513736.720426306128502,2
68,48,029,121204,48029121204,1212.04,Census Tract 1212.04,G5020,S,4361197.000000000000000,28785.000000000000000,+29.5294446,-098.4201274,48029121204.000000000000000,28558.860266440304258,47240790.220826297998428,10
69,48,029,121206,48029121206,1212.06,Census Tract 1212.06,G5020,S,4131113.000000000000000,44314.000000000000000,+29.5538361,-098.3916070,48029121206.000000000000000,28003.989121392471134,44932086.155096389353275,10
70,48,029,121115,48029121115,1211.15,Census Tract 1211.15,G5020,S,2485544.000000000000000,3273.000000000000000,+29.5755848,-098.4529264,48029121115.000000000000000,22441.893123700210708,26782417.890195850282907,9
71,48,029,191806,48029191806,1918.06,Census Tract 1918.06,G5020,S,10517727.000000000000000,0.000000000000000,+29.6162084,-098.5358265,48029191806.000000000000000,48235.473447625656263,113183131.187902450561523,9
72,48,029,121122,48029121122,1211.22,Census Tract 1211.22,G5020,S,3104264.000000000000000,0.000000000000000,+29.5751076,-098.4263308,48029121122.000000000000000,25127.806289778243809,33405326.137844692915678,10
73,48,029,191413,48029191413,1914.13,Census Tract 1914.13,G5020,S,3685837.000000000000000,6774.000000000000000,+29.5773331,-098.5221319,48029191413.000000000000000,31009.659788481480064,39736620.385387331247330,9
74,48,029,191411,48029191411,1914.11,Census Tract 1914.11,G5020,S,2000855.000000000000000,65209.000000000000000,+29.5672828,-098.5112864,48029191411.000000000000000,22082.676640043198859,22233109.700590454041958,9
75,48,029,130402,48029130402,1304.02,Census Tract 1304.02,G5020,S,2588658.000000000000000,0.000000000000000,+29.4055239,-098.4405754,48029130402.000000000000000,25279.221709540623124,27856448.869089931249619,2
76,48,029,131503,48029131503,1315.03,Census Tract 1315.03,G5020,S,2183562.000000000000000,0.000000000000000,+29.4643876,-098.3890946,48029131503.000000000000000,24399.805985396818869,23497228.694857526570559,
77,48,029,121908,48029121908,1219.08,Census Tract 1219.08,G5020,S,42672128.000000000000000,76952.000000000000000,+29.7060361,-098.3989960,48029121908.000000000000000,131467.146506721066544,460039551.657365739345551,
78,48,029,110300,48029110300,1103,Census Tract 1103,G5020,S,1549963.000000000000000,0.000000000000000,+29.4143332,-098.4808558,48029110300.000000000000000,22363.990463006048230,16679049.474330784752965,2
79,48,029,121803,48029121803,1218.03,Census Tract 1218.03,G5020,S,3302360.000000000000000,4748.000000000000000,+29.5542531,-098.3666664,48029121803.000000000000000,24387.933396693362738,35588063.065320722758770,10
