GEOID20,NAMELSAD20,SSA
48029180901,Census Tract,11
48029180902,Census Tract,11
48029181001,Census Tract,11
48029181003,Census Tract,26
48029181004,Census Tract,26
48029181005,Census Tract,26
48029181100,Census Tract,27
48029181200,Census Tract,27
48029181301,Census Tract,45
48029181302,Census Tract,45
48029181303,Census Tract,26
48029181402,Census Tract,25
48029181403,Census Tract,25
48029181404,Census Tract,25
48029181503,Census Tract,43
48029181504,Census Tract,43
48029181505,Census Tract,42
48029181506,Census Tract,41
48029181601,Census Tract,23
48029181602,Census Tract,58
48029181703,Census Tract,82
48029181704,Census Tract,59
48029181705,Census Tract,41
48029181711,Census Tract,82
48029181712,Census Tract,82
48029181713,Census Tract,82
48029181715,Census Tract,80
48029181716,Census Tract,80
48029181718,Census Tract,82
48029181720,Census Tract,82
48029181721,Census Tract,82
48029181722,Census Tract,82
48029181723,Census Tract,82
48029181724,Census Tract,81
48029181725,Census Tract,79
48029181726,Census Tract,81
48029181727,Census Tract,79
48029181729,Census Tract,91
48029181730,Census Tract,80
48029181731,Census Tract,82
48029181732,Census Tract,81
48029181733,Census Tract,81
48029181808,Census Tract,44
48029181809,Census Tract,60
48029181811,Census Tract,59
48029181813,Census Tract,45
48029181814,Census Tract,61
48029181815,Census Tract,44
48029181816,Census Tract,44
48029181817,Census Tract,42
48029181818,Census Tract,43
48029181819,Census Tract,60
48029181820,Census Tract,61
48029181821,Census Tract,60
48029181822,Census Tract,42
48029181823,Census Tract,83
48029181824,Census Tract,83
48029181825,Census Tract,83
48029181826,Census Tract,59
48029181901,Census Tract,61
48029181902,Census Tract,85
48029182001,Census Tract,83
48029182002,Census Tract,84
48029182003,Census Tract,84
48029182101,Census Tract,85
48029182102,Census Tract,85
48029182103,Census Tract,84
48029182105,Census Tract,92
48029182106,Census Tract,92
48029190100,Census Tract,2
48029190200,Census Tract,1
48029190400,Census Tract,4
48029190501,Census Tract,3
48029190503,Census Tract,3
48029190504,Census Tract,3
48029190601,Census Tract,3
48029190603,Census Tract,3
48029190604,Census Tract,3
