GEOID10,NAMELSAD,SSA_ID
48029151301,Census Tract 1513.01,37
48029192100,Census Tract 1921,6
48029192300,Census Tract 1923,48
48029191900,Census Tract 1919,5
48029131611,Census Tract 1316.11,52
48029171920,Census Tract 1719.20,76
48029171913,Census Tract 1719.13,77
48029171916,Census Tract 1719.16,76
48029180101,Census Tract 1801.01,9
48029171302,Census Tract 1713.02,22
48029171501,Census Tract 1715.01,39
48029192000,Census Tract 1920,4
48029192200,Census Tract 1922,35
48029191506,Census Tract 1915.06,27
48029110900,Census Tract 1109,1
48029110800,Census Tract 1108,1
48029171914,Census Tract 1719.14,77
48029171918,Census Tract 1719.18,78
48029171925,Census Tract 1719.25,79
48029181727,Census Tract 1817.27,79
48029171924,Census Tract 1719.24,78
48029980005,Census Tract 9800.05,92
48029191812,Census Tract 1918.12,86
48029171402,Census Tract 1714.02,40
48029171401,Census Tract 1714.01,40
48029171917,Census Tract 1719.17,77
48029172005,Census Tract 1720.05,81
48029181731,Census Tract 1817.31,82
48029181728,Census Tract 1817.28,81
48029180102,Census Tract 1801.02,9
48029180604,Census Tract 1806.04,23
48029191006,Census Tract 1910.06,11
48029181404,Census Tract 1814.04,25
48029191505,Census Tract 1915.05,46
48029172004,Census Tract 1720.04,91
48029181815,Census Tract 1818.15,44
48029181813,Census Tract 1818.13,45
48029121905,Census Tract 1219.05,65
48029172003,Census Tract 1720.03,90
48029191503,Census Tract 1915.03,46
48029191504,Census Tract 1915.04,46
48029181820,Census Tract 1818.20,61
48029181814,Census Tract 1818.14,61
48029181816,Census Tract 1818.16,44
48029181819,Census Tract 1818.19,60
48029161600,Census Tract 1616,56
48029980003,Census Tract 9800.03,38
48029170101,Census Tract 1701.01,8
48029170200,Census Tract 1702,8
48029170300,Census Tract 1703,22
48029170401,Census Tract 1704.01,8
48029170402,Census Tract 1704.02,22
48029170500,Census Tract 1705,9
48029171912,Census Tract 1719.12,79
48029172002,Census Tract 1720.02,90
48029180201,Census Tract 1802.01,11
48029180300,Census Tract 1803,23
48029180400,Census Tract 1804,23
48029180501,Census Tract 1805.01,23
48029180504,Census Tract 1805.04,40
48029180602,Census Tract 1806.02,10
48029180701,Census Tract 1807.01,25
48029180702,Census Tract 1807.02,41
48029180503,Census Tract 1805.03,40
48029180800,Census Tract 1808,24
48029180901,Census Tract 1809.01,11
48029180902,Census Tract 1809.02,11
48029181001,Census Tract 1810.01,11
48029181003,Census Tract 1810.03,26
48029181004,Census Tract 1810.04,26
48029181005,Census Tract 1810.05,26
48029181100,Census Tract 1811,27
48029181200,Census Tract 1812,27
48029181301,Census Tract 1813.01,45
48029181302,Census Tract 1813.02,45
48029181402,Census Tract 1814.02,25
48029181504,Census Tract 1815.04,43
48029181505,Census Tract 1815.05,42
48029181506,Census Tract 1815.06,41
48029181601,Census Tract 1816.01,23
48029181703,Census Tract 1817.03,82
48029181704,Census Tract 1817.04,59
48029181705,Census Tract 1817.05,41
48029181711,Census Tract 1817.11,82
48029181712,Census Tract 1817.12,82
48029181713,Census Tract 1817.13,82
48029181715,Census Tract 1817.15,80
48029181716,Census Tract 1817.16,80
48029181718,Census Tract 1817.18,82
48029181809,Census Tract 1818.09,60
48029121604,Census Tract 1216.04,69
48029121802,Census Tract 1218.02,68
48029191816,Census Tract 1918.16,64
48029121120,Census Tract 1211.20,49
48029191303,Census Tract 1913.03,48
48029121906,Census Tract 1219.06,65
48029182105,Census Tract 1821.05,92
48029182106,Census Tract 1821.06,92
48029131615,Census Tract 1316.15,52
48029191702,Census Tract 1917.02,64
48029121809,Census Tract 1218.09,67
48029121811,Census Tract 1218.11,66
48029121910,Census Tract 1219.10,88
48029191809,Census Tract 1918.09,86
48029131802,Census Tract 1318.02,71
48029152201,Census Tract 1522.01,72
48029162004,Census Tract 1620.04,75
48029162003,Census Tract 1620.03,74
48029171502,Census Tract 1715.02,39
48029171301,Census Tract 1713.01,22
48029172007,Census Tract 1720.07,90
48029180603,Census Tract 1806.03,23
48029191807,Census Tract 1918.07,62
48029182002,Census Tract 1820.02,84
48029181825,Census Tract 1818.25,83
48029182001,Census Tract 1820.01,83
48029181902,Census Tract 1819.02,85
48029191811,Census Tract 1918.11,86
48029121808,Census Tract 1218.08,67
48029121903,Census Tract 1219.03,88
48029121907,Census Tract 1219.07,88
48029131801,Census Tract 1318.01,71
48029141403,Census Tract 1414.03,34
48029182003,Census Tract 1820.03,84
48029121909,Census Tract 1219.09,89
48029151100,Census Tract 1511,37
48029160100,Census Tract 1601,7
48029160300,Census Tract 1603,20
48029160400,Census Tract 1604,20
48029160600,Census Tract 1606,21
48029160701,Census Tract 1607.01,21
48029141101,Census Tract 1411.01,35
48029131401,Census Tract 1314.01,54
48029141102,Census Tract 1411.02,35
48029141404,Census Tract 1414.04,34
48029151302,Census Tract 1513.02,73
48029160902,Census Tract 1609.02,37
48029121606,Census Tract 1216.06,69
48029161304,Census Tract 1613.04,55
48029161901,Census Tract 1619.01,75
48029160502,Census Tract 1605.02,21
48029161802,Census Tract 1618.02,75
48029131506,Census Tract 1315.06,53
48029130401,Census Tract 1304.01,5
48029121702,Census Tract 1217.02,89
48029131402,Census Tract 1314.02,54
48029121810,Census Tract 1218.10,66
48029131612,Census Tract 1316.12,70
48029151200,Census Tract 1512,37
48029151600,Census Tract 1516,36
48029151700,Census Tract 1517,73
48029181811,Census Tract 1818.11,59
48029190200,Census Tract 1902,1
48029190400,Census Tract 1904,4
48029190501,Census Tract 1905.01,3
48029190601,Census Tract 1906.01,3
48029190800,Census Tract 1908,13
48029190901,Census Tract 1909.01,12
48029191003,Census Tract 1910.03,11
48029191004,Census Tract 1910.04,11
48029191101,Census Tract 1911.01,28
48029191102,Census Tract 1911.02,28
48029191406,Census Tract 1914.06,63
48029191408,Census Tract 1914.08,47
48029191409,Census Tract 1914.09,47
48029181808,Census Tract 1818.08,44
48029190504,Census Tract 1905.04,3
48029190503,Census Tract 1905.03,3
48029131606,Census Tract 1316.06,70
48029131300,Census Tract 1313,33
48029141402,Census Tract 1414.02,73
48029141600,Census Tract 1416,73
48029141700,Census Tract 1417,73
48029150100,Census Tract 1501,19
48029150300,Census Tract 1503,19
48029150400,Census Tract 1504,20
48029150501,Census Tract 1505.01,20
48029150502,Census Tract 1505.02,20
48029150600,Census Tract 1506,36
48029150700,Census Tract 1507,36
48029150800,Census Tract 1508,35
48029150900,Census Tract 1509,36
48029151000,Census Tract 1510,36
